[2024-05-24 08:58:18] [ always  ] Spawning background process: c:/xampp/php/php.exe "C:/xampp/htdocs/cacti/install/background.php" 1716515898.809
[2024-05-24 08:58:19] [ always  ] Setting PHP Option max_execution_time = 0
[2024-05-24 08:58:19] [ always  ] Setting PHP Option memory_limit = -1
[2024-05-24 08:58:20] [ always  ] Starting INSTALL Process for v1.2.27
[2024-05-24 08:58:20] [ always  ] No tables where found or selected for conversion
[2024-05-24 08:58:20] [ always  ] Found 13 templates to install
[2024-05-24 08:58:20] [ always  ] About to import Package #1 'Apache_Webserver.xml.gz'.
[2024-05-24 08:58:23] [ always  ] Import of Package #1 'Apache_Webserver.xml.gz' under Profile '3' succeeded
[2024-05-24 08:58:23] [ always  ] About to import Package #2 'Cacti_Stats.xml.gz'.
[2024-05-24 08:58:33] [ always  ] Import of Package #2 'Cacti_Stats.xml.gz' under Profile '3' succeeded
[2024-05-24 08:58:33] [ always  ] About to import Package #3 'Cisco_Router.xml.gz'.
[2024-05-24 08:58:43] [ always  ] Import of Package #3 'Cisco_Router.xml.gz' under Profile '3' succeeded
[2024-05-24 08:58:43] [ always  ] About to import Package #4 'ESXi_Device.xml.gz'.
[2024-05-24 08:58:52] [ always  ] Import of Package #4 'ESXi_Device.xml.gz' under Profile '3' succeeded
[2024-05-24 08:58:52] [ always  ] About to import Package #5 'Fortigate.xml.gz'.
[2024-05-24 08:59:02] [ always  ] Import of Package #5 'Fortigate.xml.gz' under Profile '3' succeeded
[2024-05-24 08:59:02] [ always  ] About to import Package #6 'Generic_SNMP_Device.xml.gz'.
[2024-05-24 08:59:09] [ always  ] Import of Package #6 'Generic_SNMP_Device.xml.gz' under Profile '3' succeeded
[2024-05-24 08:59:09] [ always  ] About to import Package #7 'Local_Linux_Machine.xml.gz'.
[2024-05-24 08:59:11] [ always  ] Import of Package #7 'Local_Linux_Machine.xml.gz' under Profile '3' succeeded
[2024-05-24 08:59:11] [ always  ] About to import Package #8 'NetSNMP_Device.xml.gz'.
[2024-05-24 08:59:25] [ always  ] Import of Package #8 'NetSNMP_Device.xml.gz' under Profile '3' succeeded
[2024-05-24 08:59:25] [ always  ] About to import Package #9 'PING_Advanced_Ping.xml.gz'.
[2024-05-24 08:59:27] [ always  ] Import of Package #9 'PING_Advanced_Ping.xml.gz' under Profile '3' succeeded
[2024-05-24 08:59:27] [ always  ] About to import Package #10 'SNMP_Printer.xml.gz'.
[2024-05-24 08:59:34] [ always  ] Import of Package #10 'SNMP_Printer.xml.gz' under Profile '3' succeeded
